customerID,Churn,Genero,Cliente_Jubilado,Pareja,Dependientes,Meses_Como_Cliente,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Copia_Seguridad_Online,Proteccion_Dispositivos,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias
0023-HGHWL,True,Hombre,True,False,False,1,False,No phone service,DSL,No,No,No,No,No,No,Mensual,True,Electronic check,25.1,25.1,0.84
0023-UYUPN,False,Mujer,True,True,False,50,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Anual,False,Electronic check,25.2,1306.3,0.84
0023-XUOPT,True,Mujer,False,True,False,13,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Mensual,False,Electronic check,94.1,1215.6,3.14
0027-KWYKW,False,Mujer,False,True,True,23,True,Yes,Fiber optic,No,No,No,No,Yes,No,Mensual,True,Electronic check,83.75,1849.95,2.79
0030-FNXPP,False,Mujer,False,False,False,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,False,Mailed check,19.85,57.2,0.66
0031-PVLZI,True,Mujer,False,True,True,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,False,Mailed check,20.35,76.35,0.68
0032-PGELS,True,Mujer,False,True,True,1,False,No phone service,DSL,Yes,No,No,No,No,No,Mensual,False,Bank transfer (automatic),30.5,30.5,1.02
0036-IHMOT,False,Mujer,False,True,True,55,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Anual,True,Bank transfer (automatic),103.7,5656.75,3.46
0040-HALCW,False,Hombre,False,True,True,54,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,False,Credit card (automatic),20.4,1090.6,0.68
0042-JVWOJ,False,Hombre,False,False,False,26,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Anual,True,Bank transfer (automatic),19.6,471.85,0.65
0042-RLHYP,False,Mujer,False,True,True,69,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,False,Bank transfer (automatic),19.7,1396.9,0.66
0047-ZHDTW,False,Mujer,False,False,False,11,True,Yes,Fiber optic,Yes,No,No,No,No,No,Mensual,True,Bank transfer (automatic),79.0,929.3,2.63
0048-LUMLS,False,Hombre,False,True,True,37,True,No,Fiber optic,No,No,No,No,Yes,Yes,Anual,False,Credit card (automatic),91.2,3247.55,3.04
0048-PIHNL,False,Mujer,False,True,False,49,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Anual,False,Bank transfer (automatic),20.45,900.9,0.68
0052-DCKON,False,Hombre,False,True,False,66,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Anual,False,Bank transfer (automatic),115.8,7942.15,3.86
0052-YNYOT,False,Mujer,False,False,False,67,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Anual,False,Electronic check,20.55,1343.4,0.68
0056-EPFBG,False,Hombre,False,True,True,20,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,Bianual,True,Credit card (automatic),39.4,825.4,1.31
0057-QBUQH,False,Mujer,False,False,True,43,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,True,Electronic check,25.1,1070.15,0.84
0058-EVZWM,False,Mujer,False,True,False,55,True,Yes,Fiber optic,Yes,No,No,No,Yes,No,Mensual,True,Bank transfer (automatic),89.8,4959.6,2.99
0060-FUALY,False,Mujer,False,True,False,59,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Mensual,True,Electronic check,94.75,5597.65,3.16
0064-SUDOG,False,Mujer,False,True,True,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,False,Bank transfer (automatic),20.3,224.5,0.68
0064-YIJGF,False,Hombre,False,True,True,27,True,Yes,Fiber optic,No,No,No,No,No,No,Mensual,True,Bank transfer (automatic),75.75,1929.0,2.52
0067-DKWBL,True,Hombre,True,False,False,2,True,No,DSL,Yes,No,No,No,No,No,Mensual,True,Electronic check,49.25,91.1,1.64
0068-FIGTF,False,Mujer,False,False,False,27,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Anual,False,Mailed check,78.2,2078.95,2.61
0071-NDAFP,False,Hombre,False,True,True,25,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,False,Credit card (automatic),25.5,630.6,0.85
0074-HDKDG,False,Hombre,False,True,True,25,True,No,DSL,Yes,Yes,Yes,No,No,No,Anual,True,Bank transfer (automatic),61.6,1611.0,2.05
0076-LVEPS,False,Hombre,False,False,True,29,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Mensual,True,Mailed check,45.0,1242.45,1.5
0078-XZMHT,False,Hombre,False,True,False,72,True,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Bianual,True,Bank transfer (automatic),85.15,6316.2,2.84
0080-EMYVY,False,Mujer,False,False,False,14,True,No,DSL,No,Yes,No,No,No,No,Anual,False,Credit card (automatic),51.45,727.85,1.72
0080-OROZO,False,Mujer,False,False,False,35,True,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Anual,True,Electronic check,99.25,3532.0,3.31
0082-LDZUE,False,Hombre,False,False,False,1,True,No,DSL,No,No,No,No,No,No,Mensual,True,Mailed check,44.3,44.3,1.48
0082-OQIQY,False,Hombre,False,False,False,29,True,No,Fiber optic,No,No,No,Yes,Yes,Yes,Mensual,True,Electronic check,94.2,2607.6,3.14
0083-PIVIK,False,Hombre,False,False,False,64,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Anual,False,Electronic check,81.25,5567.55,2.71
0089-IIQKO,False,Mujer,False,True,True,39,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Mensual,True,Credit card (automatic),99.95,3767.4,3.33
0093-EXYQL,False,Mujer,True,False,False,40,True,No,Fiber optic,No,No,No,No,Yes,Yes,Mensual,True,Electronic check,91.55,3673.6,3.05
0093-XWZFY,True,Hombre,False,False,False,40,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mensual,True,Credit card (automatic),104.5,4036.85,3.48
0094-OIFMO,True,Mujer,True,False,False,11,True,No,Fiber optic,No,Yes,No,No,Yes,Yes,Mensual,True,Electronic check,95.0,1120.3,3.17
0096-BXERS,False,Mujer,False,True,False,6,True,Yes,DSL,No,No,No,No,No,No,Mensual,False,Electronic check,50.35,314.55,1.68
0096-FCPUF,False,Hombre,False,False,False,30,True,Yes,DSL,Yes,No,No,No,No,Yes,Mensual,True,Mailed check,64.5,1888.45,2.15
0098-BOWSO,False,Hombre,False,False,False,27,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,True,Electronic check,19.4,529.8,0.65
0100-DUVFC,False,Hombre,True,True,False,70,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Anual,True,Electronic check,104.8,7308.95,3.49
0103-CSITQ,False,Mujer,False,True,False,57,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Anual,True,Bank transfer (automatic),109.4,6252.7,3.65
0104-PPXDV,False,Hombre,False,True,False,58,True,No,DSL,No,No,Yes,No,No,No,Anual,False,Credit card (automatic),50.3,2878.55,1.68
0106-GHRQR,False,Hombre,False,False,False,16,True,Yes,DSL,No,Yes,Yes,No,No,Yes,Mensual,True,Bank transfer (automatic),71.4,1212.1,2.38
0106-UGRDO,False,Mujer,False,True,False,69,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,True,Electronic check,116.0,8182.85,3.87
0107-WESLM,True,Hombre,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,True,Electronic check,19.85,19.85,0.66
0107-YHINA,True,Hombre,False,False,True,1,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Mensual,True,Electronic check,99.75,99.75,3.32
0111-KLBQG,False,Hombre,True,True,True,32,True,No,Fiber optic,No,Yes,No,No,Yes,Yes,Mensual,True,Mailed check,93.95,2861.45,3.13
0112-QAWRZ,False,Hombre,False,True,True,16,True,Yes,Fiber optic,No,No,Yes,No,Yes,No,Mensual,True,Bank transfer (automatic),90.8,1442.2,3.03
0112-QWPNC,True,Hombre,False,True,False,49,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Anual,False,Electronic check,84.35,4059.35,2.81
0114-IGABW,False,Mujer,False,True,False,71,False,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Bianual,False,Bank transfer (automatic),58.25,4145.9,1.94
0114-PEGZZ,False,Mujer,False,False,False,33,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mensual,False,Electronic check,107.55,3645.5,3.58
0114-RSRRW,False,Mujer,False,True,False,10,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,True,Bank transfer (automatic),19.95,187.75,0.66
0115-TFERT,True,Hombre,False,True,False,21,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Mensual,True,Electronic check,111.2,2317.1,3.71
0117-LFRMW,True,Hombre,False,True,True,37,False,No phone service,DSL,Yes,Yes,Yes,No,No,No,Mensual,False,Bank transfer (automatic),40.2,1448.8,1.34
0118-JPNOY,False,Mujer,True,False,False,26,True,No,Fiber optic,Yes,No,No,No,Yes,No,Mensual,True,Credit card (automatic),85.8,2193.65,2.86
0120-YZLQA,False,Hombre,False,False,False,71,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,True,Credit card (automatic),19.9,1355.1,0.66
0121-SNYRK,False,Hombre,False,False,False,50,False,No phone service,DSL,Yes,No,No,Yes,No,No,Anual,True,Mailed check,35.4,1748.9,1.18
0122-OAHPZ,True,Mujer,False,False,False,7,True,Yes,Fiber optic,No,No,No,No,No,No,Mensual,True,Electronic check,73.85,511.25,2.46
0123-CRBRT,False,Mujer,False,True,True,61,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,False,Mailed check,88.1,5526.75,2.94
0125-LZQXK,True,Hombre,False,False,False,15,True,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Mensual,True,Electronic check,101.35,1553.95,3.38
0128-MKWSG,False,Mujer,False,False,True,26,False,No phone service,DSL,Yes,No,No,Yes,No,Yes,Mensual,False,Mailed check,45.8,1147.0,1.53
0129-KPTWJ,False,Hombre,False,True,False,72,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Mensual,True,Electronic check,94.65,6747.35,3.16
0129-QMPDR,False,Hombre,False,True,True,44,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Anual,True,Bank transfer (automatic),20.5,865.05,0.68
0130-SXOUN,False,Hombre,False,False,False,66,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Mensual,False,Credit card (automatic),89.4,5976.9,2.98
0133-BMFZO,True,Mujer,False,False,False,2,True,No,Fiber optic,Yes,Yes,No,Yes,No,No,Mensual,True,Electronic check,86.25,181.65,2.88
0134-XWXCE,False,Mujer,True,False,False,44,True,No,DSL,No,No,Yes,Yes,Yes,Yes,Anual,False,Bank transfer (automatic),74.85,3268.05,2.49
0135-NMXAP,True,Mujer,False,False,False,12,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Mensual,True,Bank transfer (automatic),89.75,1052.4,2.99
0136-IFMYD,False,Hombre,True,True,False,69,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bianual,True,Electronic check,109.95,7634.25,3.66
0137-OCGAB,True,Mujer,False,False,False,1,True,Yes,Fiber optic,No,Yes,No,No,No,No,Mensual,True,Mailed check,80.2,80.2,2.67
0137-UDEUO,True,Mujer,False,False,False,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,False,Mailed check,19.85,63.75,0.66
0139-IVFJG,False,Mujer,False,True,False,2,True,No,Fiber optic,Yes,Yes,No,No,Yes,No,Mensual,False,Electronic check,90.35,190.5,3.01
0141-YEAYS,False,Mujer,True,False,False,27,True,Yes,Fiber optic,No,Yes,Yes,No,No,No,Mensual,True,Bank transfer (automatic),86.45,2401.05,2.88
0142-GVYSN,False,Hombre,False,False,False,26,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,True,Electronic check,20.3,511.25,0.68
0147-ESWWR,False,Mujer,True,True,False,39,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Mensual,True,Electronic check,101.25,3949.15,3.38
0148-DCDOS,True,Hombre,False,False,False,25,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Mensual,True,Bank transfer (automatic),94.7,2362.1,3.16
0151-ONTOV,True,Mujer,False,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Mensual,False,Mailed check,70.9,70.9,2.36
0154-QYHJU,False,Hombre,False,False,False,29,True,No,DSL,Yes,Yes,No,Yes,No,No,Anual,True,Electronic check,58.75,1696.2,1.96
0156-FVPTA,True,Hombre,False,True,False,22,True,No,DSL,Yes,No,No,Yes,No,No,Mensual,True,Electronic check,54.2,1152.7,1.81
0162-RZGMZ,False,Mujer,True,False,False,5,True,No,DSL,Yes,Yes,No,Yes,No,No,Mensual,False,Credit card (automatic),59.9,287.85,2.0
0164-APGRB,False,Mujer,False,False,False,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,True,Electronic check,114.9,8496.7,3.83
0164-XAIRP,False,Mujer,False,False,False,24,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,True,Bank transfer (automatic),19.55,470.2,0.65
0168-XZKBB,False,Mujer,False,True,False,19,True,Yes,Fiber optic,No,No,No,No,Yes,No,Mensual,True,Electronic check,86.85,1564.4,2.9
0174-QRVVY,False,Hombre,False,True,True,71,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,False,Credit card (automatic),25.35,1847.55,0.85
0177-PXBAT,False,Hombre,True,True,False,33,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Mensual,True,Bank transfer (automatic),109.9,3694.7,3.66
0178-CIIKR,False,Mujer,False,False,False,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,False,Mailed check,19.95,58.0,0.66
0178-SZBHO,False,Hombre,False,True,True,47,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Mensual,False,Electronic check,87.2,4017.45,2.91
0181-RITDD,False,Hombre,False,True,True,62,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,False,Mailed check,108.15,6825.65,3.6
0186-CAERR,False,Hombre,False,False,False,71,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Anual,True,Bank transfer (automatic),116.3,8309.55,3.88
0187-QSXOE,False,Hombre,True,True,False,7,True,No,Fiber optic,No,No,No,No,Yes,Yes,Mensual,True,Electronic check,89.0,605.45,2.97
0187-WZNAB,False,Mujer,False,True,True,27,True,No,Fiber optic,Yes,No,No,No,No,No,Mensual,False,Mailed check,74.4,1972.35,2.48
0188-GWFLE,False,Hombre,False,False,False,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,False,Mailed check,20.05,33.7,0.67
0191-EQUUH,False,Mujer,False,False,True,25,False,No phone service,DSL,Yes,No,No,Yes,No,No,Bianual,False,Bank transfer (automatic),35.05,844.45,1.17
0191-ZHSKZ,False,Hombre,True,False,False,30,True,No,DSL,Yes,Yes,No,No,Yes,Yes,Mensual,True,Electronic check,74.75,2111.3,2.49
0193-ESZXP,True,Mujer,True,True,False,58,True,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Anual,True,Credit card (automatic),105.5,6205.5,3.52
0195-IESCP,True,Hombre,False,True,False,10,True,Yes,Fiber optic,No,No,No,No,No,Yes,Mensual,True,Electronic check,85.25,855.3,2.84
0196-JTUQI,False,Mujer,False,False,False,9,True,Yes,Fiber optic,No,No,No,No,No,No,Mensual,True,Credit card (automatic),75.2,633.85,2.51
0196-VULGZ,True,Mujer,True,True,False,6,True,Yes,Fiber optic,No,No,No,No,No,Yes,Mensual,True,Electronic check,84.35,474.9,2.81
0197-PNKNK,False,Mujer,False,True,True,69,True,Yes,Fiber optic,Yes,No,Yes,No,No,No,Anual,False,Bank transfer (automatic),84.45,5848.6,2.82
0201-MIBOL,False,Mujer,True,False,False,66,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Bianual,True,Bank transfer (automatic),102.4,6471.85,3.41
0201-OAMXR,True,Mujer,False,False,False,70,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Anual,False,Credit card (automatic),115.55,8127.6,3.85
0203-HHYIJ,True,Hombre,False,False,False,25,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Anual,False,Bank transfer (automatic),25.3,676.35,0.84
0206-OYVOC,False,Mujer,False,True,True,46,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,True,Mailed check,19.25,864.2,0.64
0206-TBWLC,False,Mujer,False,True,False,54,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Anual,True,Mailed check,114.65,6049.5,3.82
0207-MDKNV,True,Mujer,False,False,False,15,True,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Mensual,False,Electronic check,105.1,1582.75,3.5
0208-BPQEJ,False,Mujer,False,True,True,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,False,Bank transfer (automatic),19.4,198.1,0.65
0212-ISBBF,False,Mujer,False,False,False,22,False,No phone service,DSL,No,Yes,No,No,Yes,Yes,Mensual,True,Electronic check,50.35,1098.85,1.68
0214-JHPFW,False,Mujer,False,True,False,70,False,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Bianual,False,Bank transfer (automatic),57.8,4039.3,1.93
0215-BQKGS,False,Hombre,False,False,False,30,True,No,Fiber optic,Yes,Yes,Yes,No,No,No,Mensual,True,Credit card (automatic),84.3,2438.6,2.81
0218-QNVAS,False,Hombre,False,True,True,71,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Anual,False,Bank transfer (automatic),100.55,7113.75,3.35
0219-QAERP,False,Hombre,False,True,False,30,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Anual,False,Credit card (automatic),19.8,576.65,0.66
0219-YTZUE,True,Hombre,False,True,True,4,True,Yes,Fiber optic,No,Yes,Yes,No,No,No,Mensual,True,Bank transfer (automatic),84.8,371.9,2.83
0220-EBGCE,True,Hombre,False,False,False,2,True,No,Fiber optic,No,No,Yes,No,No,Yes,Mensual,True,Electronic check,85.85,167.3,2.86
0221-NAUXK,False,Hombre,False,False,True,10,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Anual,True,Bank transfer (automatic),19.95,219.5,0.66
0221-WMXNQ,False,Hombre,True,False,False,4,True,No,Fiber optic,Yes,No,No,No,No,No,Mensual,False,Electronic check,75.35,273.4,2.51
0222-CNVPT,False,Hombre,True,False,False,52,False,No phone service,DSL,Yes,No,No,No,Yes,Yes,Mensual,True,Credit card (automatic),48.8,2555.05,1.63
0224-HJAPT,True,Hombre,False,False,False,5,True,Yes,DSL,No,No,No,No,No,No,Mensual,False,Electronic check,47.15,223.15,1.57
0224-NIJLP,False,Hombre,False,True,True,8,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bianual,False,Mailed check,20.15,165.5,0.67
0224-RLWWD,False,Mujer,True,False,False,2,True,No,DSL,No,No,No,No,No,No,Mensual,True,Electronic check,44.3,89.3,1.48
0225-ZORZP,False,Hombre,False,False,False,3,True,No,Fiber optic,No,Yes,No,No,No,Yes,Mensual,False,Electronic check,84.3,235.05,2.81
0228-MAUWC,False,Hombre,False,False,False,19,True,Yes,DSL,No,No,Yes,Yes,No,No,Mensual,False,Electronic check,59.55,1144.6,1.98
0229-LFJAF,False,Hombre,False,False,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Bianual,False,Bank transfer (automatic),69.65,4908.25,2.32
0230-UBYPQ,False,Hombre,True,True,False,63,False,No phone service,DSL,Yes,No,No,Yes,No,No,Anual,False,Bank transfer (automatic),36.1,2298.9,1.2
0230-WEQUW,False,Hombre,False,True,False,66,False,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Bianual,True,Bank transfer (automatic),56.6,3789.2,1.89
0231-LXVAP,True,Hombre,False,False,False,1,True,No,Fiber optic,No,No,No,Yes,No,No,Mensual,True,Electronic check,75.9,75.9,2.53
0233-FTHAV,False,Mujer,False,False,False,60,True,Yes,Fiber optic,No,No,Yes,No,No,No,Anual,True,Bank transfer (automatic),79.2,4765.0,2.64
0234-TEVTT,False,Mujer,False,True,True,48,False,No phone service,DSL,Yes,No,Yes,No,No,Yes,Anual,False,Credit card (automatic),45.0,2196.3,1.5
0235-KGSLC,True,Mujer,False,False,False,1,True,No,Fiber optic,No,No,Yes,No,Yes,No,Mensual,True,Credit card (automatic),85.55,85.55,2.85
0236-HFWSV,True,Hombre,False,False,False,15,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Mensual,True,Electronic check,93.35,1444.65,3.11
0237-YFUTL,False,Mujer,False,True,False,50,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Mensual,True,Bank transfer (automatic),109.65,5405.8,3.66
0238-WHBIQ,False,Hombre,False,True,True,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,False,Credit card (automatic),89.7,6339.3,2.99
0239-OXEXL,False,Mujer,False,False,False,46,True,Yes,Fiber optic,Yes,Yes,No,No,No,No,Mensual,False,Mailed check,84.25,3847.6,2.81
0244-LGNFY,False,Mujer,False,True,True,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,False,Bank transfer (automatic),92.65,6733.0,3.09
0247-SLUJI,False,Hombre,False,True,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,False,Mailed check,19.7,19.7,0.66
0248-IPDFW,False,Mujer,False,False,False,1,True,Yes,DSL,No,No,No,No,No,No,Mensual,True,Electronic check,50.1,50.1,1.67
0248-PGHBZ,False,Mujer,True,False,False,67,True,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Bianual,True,Bank transfer (automatic),92.45,6140.85,3.08
0253-ZTEOB,False,Mujer,False,True,True,48,True,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Bianual,False,Electronic check,79.65,3870.3,2.66
0254-FNMCI,False,Mujer,False,False,False,72,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,True,Electronic check,109.9,7624.2,3.66
0254-KCJGT,False,Hombre,False,True,False,52,True,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Anual,True,Credit card (automatic),81.4,4354.45,2.71
0254-WWRKD,False,Mujer,False,True,True,67,True,No,DSL,No,Yes,No,No,No,No,Anual,False,Credit card (automatic),50.55,3431.75,1.68
0256-LTHVJ,True,Mujer,False,True,True,28,True,No,Fiber optic,No,No,No,No,No,Yes,Mensual,True,Electronic check,81.05,2227.1,2.7
0257-KXZGU,False,Mujer,False,True,True,32,True,Yes,DSL,No,Yes,Yes,No,No,No,Mensual,False,Bank transfer (automatic),62.45,2045.55,2.08
0257-ZESQC,True,Mujer,True,True,False,27,True,No,Fiber optic,Yes,No,No,No,No,No,Mensual,True,Bank transfer (automatic),75.2,1929.35,2.51
0258-NOKBL,False,Hombre,False,False,False,3,True,No,Fiber optic,No,Yes,Yes,No,No,Yes,Mensual,False,Electronic check,90.4,268.45,3.01
0259-GBZSH,True,Hombre,False,False,False,2,True,Yes,Fiber optic,No,No,No,No,Yes,No,Mensual,True,Electronic check,85.65,181.5,2.86
0260-ZDLGK,True,Mujer,False,False,True,9,True,No,DSL,No,No,Yes,Yes,Yes,Yes,Mensual,True,Mailed check,72.9,651.4,2.43
0263-FJTQO,False,Hombre,False,True,True,50,True,Yes,DSL,Yes,No,No,Yes,Yes,No,Bianual,True,Credit card (automatic),70.5,3486.65,2.35
